word,english
我,
叫,
你,
係,
好,
高興,
認識,
都,
美國,
中國,
人,
叫,
你好,
廣東話,
點講,
唔該,
慢,
啲,
幫,
寫低,
一,
二,
三,
四,
五,
六,
七,
八,
九,
十,
百,
萬,
千,
