word,english
返工,go to work
返學,go to school
買餸,get groceries
出街,go out
打機,gaming
打電話,phone
沖涼,bathe/shower
休息,rest
放工,leave work
放學,leave school
煮餸,cook
做家務,do chores
睇電視,watch TV
睇書,read a book
瞓覺,sleep
返,go somewhere
放,leave somewhere
書,book
電視,TV
餸,dish;rice accompaniment
