# source: https://github.com/magalilemes/new-hsk-1/blob/master/hsk1.csv
characters,pinyin,meaning
要,yào,"important, vital, to want, to ask for, will, going to (as future auxiliary), may, must, (used in a comparison) must be, probably, if"
爷爷,yéyé,"(coll.) father's father, paternal grandfather, CL:個|个[ge4]"
也,yě,"also, too, (in Classical Chinese) final particle implying affirmation"
页,yè,"page, leaf"
一,yī,"one, 1, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1), also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
衣服,yīfú,"clothes, CL:件[jian4],套[tao4]"
医生,yìshēng,"doctor, CL:個|个[ge4],位[wei4],名[ming2]"
医院,yìyuàn,"hospital, CL:所[suo3],家[jia1],座[zuo4]"
一半,yībàn,half
一会儿,yīhùiér,"a moment, a while, in a moment, now...now..., also pr. [yi1 hui3 r5]"
一块儿,yīkuàiér,erhua variant of 一塊|一块[yi1 kuai4]
一下儿,yīxiàér,erhua variant of 一下[yi1 xia4]
一样,yīyáng,"same, like, equal to, the same as, just like"
一边,yībiān,"one side, either side, on the one hand, on the other hand, doing while"
一点儿,yīdiǎnér,erhua variant of 一點|一点[yi1 dian3]
一起,yīqǐ,"in the same place, together, with, altogether (in total)"
一些,yīxiē,"some, a few, a little"
用,yòng,"to use, to employ, to have to, to eat or drink, expense or outlay, usefulness, hence, therefore"
有,yǒu,"to have, there is, there are, to exist, to be"
有的,yǒude,"(there are) some (who are...), some (exist)"
有名,yǒumíng,"famous, well-known"
有时候,yǒushíhòu,sometimes
有一些,yoǔyīxīe,some
有用,yǒuyòng,useful
右,yòu,"right (-hand), the Right (politics), west (old)"
右边,yòubiān,"right side, right, to the right"
雨,yǔ,"to rain, (of rain, snow etc) to fall, to precipitate, to wet"
元,yuán,"currency unit (esp. Chinese yuan), first, original, primary, fundamental, constituent, part, era (of a reign), (math.) argument, variable, (Tw) (geology) eon"
远,yuǎn,to distance oneself from (classical)
月,yuè,"moon, month, monthly, CL:個|个[ge4],輪|轮[lun2]"
再,zài,"again, once more, re-, second, another, then (after sth, and not until then)"
再见,zàijiàn,"goodbye, see you again later"
在,zài,"(located) at, (to be) in, to exist, in the middle of doing sth, (indicating an action in progress)"
在家,zàijiā,at home
早,zǎo,"early, morning, Good morning!, long ago, prematurely"
早饭,zǎofàn,"breakfast, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]"
早上,zǎoshàng,"early morning, CL:個|个[ge4]"
怎么,zěnyāo,variant of 怎麼|怎么[zen3 me5]
站,zhàn,"station, to stand, to halt, to stop, branch of a company or organization, website"
找,zhǎo,"to try to find, to look for, to call on sb, to find, to seek, to return, to give change"
找到,zhǎodào,to find
这,zhè,"this, these, (commonly pr. [zhei4] before a classifier, esp. in Beijing)"
这边,zhèbiān,"this side, here"
这里,zhèlǐ,here
这儿,zhèér,here
这些,zhèxiē,these
着,zháo,"to wear (clothes), to contact, to use, to apply"
真,zhēn,"really, truly, indeed, real, true, genuine"
真的,zhēnde,really
正,zhèng,"straight, upright, proper, main, principal, to correct, to rectify, exactly, just (at that time), right (in that place), (math.) positive"
正在,zhèngzài,"just at (that time), right in (that place), right in the middle of (doing sth)"
知道,zhīdào,"to know, to become aware of, also pr. [zhi1 dao5]"
知识,zhīshì,"knowledge, CL:門|门[men2], intellectual"
中,zhōng,"to hit (the mark), to be hit by, to suffer, to win (a prize, a lottery)"
中国,zhōngguó,China
中间,zhōngjiān,"between, intermediate, mid, middle"
中文,zhōngwén,Chinese language
中午,zhōngwǔ,"noon, midday, CL:個|个[ge4]"
中学,zhōngxué,"middle school, CL:個|个[ge4]"
中学生,zhōngxuéshēng,"middle-school student, high school student"
重,zhòng,"heavy, serious, to attach importance to"
重要,zhòngyào,"important, significant, major"
住,zhù,"to live, to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt)"
准备,zhǔnbèi,"preparation, to prepare, to intend, to be about to, reserve (fund)"
桌子,zhuōzǐ,"table, desk, CL:張|张[zhang1],套[tao4]"
字,zì,"letter, symbol, character, word, CL:個|个[ge4], courtesy or style name traditionally given to males aged 20 in dynastic China"
子,zǐ,(noun suffix)
走,zǒu,"to walk, to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走[che4 zou3]), to change (shape, form, meaning)"
走路,zǒulù,"to walk, to go on foot"
最,zùi,"most, the most, -est (superlative suffix)"
最好,zùihǎo,"best, (you) had better (do what we suggest)"
最后,zùihòu,"final, last, finally, ultimate"
昨天,zuótiān,yesterday
左,zuǒ,"left, the Left (politics), east, unorthodox, queer, wrong, differing, opposite, variant of 佐[zuo3]"
左边,zuǒbiān,"left, the left side, to the left of"
坐,zuò,"to sit, to take a seat, to take (a bus, airplane etc), to bear fruit, variant of 座[zuo4]"
坐下,zuòxià,to sit down
做,zuò,"to do, to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance"
