# source: https://github.com/magalilemes/new-hsk-1/blob/master/hsk1.csv
characters,pinyin,meaning
读书,dúshū,"to read a book, to study, to attend school"
对,dùi,"right, correct, couple, pair, towards, at, for, to face, opposite, to treat (sb a certain way), to match together, to adjust, to fit, to suit, to answer, to reply, classifier: couple"
对不起,dùibùqǐ,"unworthy, to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat)"
多,duō,"many, much, often, a lot of, numerous, more, in excess, how (to what extent), multi-, Taiwan pr. [duo2] when it means ""how"""
多少,duōshǎo,"how much, how many, which (number), as much as"
饿,è,"to be hungry, hungry, to starve (sb)"
儿子,érzǐ,son
二,èr,"two, 2, (Beijing dialect) stupid"
饭,fàn,"food, cuisine, cooked rice, meal, CL:碗[wan3],頓|顿[dun4]"
饭店,fàndiàn,"restaurant, hotel, CL:家[jia1],個|个[ge4]"
房间,fángjiān,"room, CL:間|间[jian1],個|个[ge4]"
房子,fángzǐ,"house, building (single- or two-story), apartment, room, CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4]"
放,fàng,"to put, to place, to release, to free, to let go, to let out, to set off (fireworks)"
放假,fàngjiǎ,to have a holiday or vacation
放学,fàngxué,to dismiss students at the end of the school day
飞,fēi,to fly
飞机,fēijī,"airplane, CL:架[jia4]"
非常,fēicháng,"very, very much, unusual, extraordinary"
分,fēn,"part, share, ingredient, component"
风,fēng,"wind, news, style, custom, manner, CL:陣|阵[zhen4],絲|丝[si1]"
干 first tone,gān,"tree trunk, main part of sth, to manage, to work, to do, capable, cadre, to kill (slang), to fuck (vulgar)"
干净,gānjìng,"clean, neat"
干 fourth tone,gàn,to do
干什么,gānshíyāo,"what are you doing?, what's he up to?"
高,gāo,"high, tall, above average, loud, your (honorific)"
高兴,gāoxīng,"happy, glad, willing (to do sth), in a cheerful mood"
告诉,gàosù,"to tell, to inform, to let know"
哥哥,gēgē,"older brother, CL:個|个[ge4],位[wei4]"
歌,gē,variant of 歌[ge1]
个,gè,variant of 個|个[ge4]
给,gěi,"to supply, to provide"
跟,gēn,"heel, to follow closely, to go with, (of a woman) to marry sb, with, compared with, to, towards, and (joining two nouns)"
工人,gōngrén,"worker, CL:個|个[ge4],名[ming2]"
工作,gōngzuò,"to work, (of a machine) to operate, job, work, task, CL:個|个[ge4],份[fen4],項|项[xiang4]"
关,guān,"mountain pass, to close, to shut, to turn off, to concern, to involve"
关上,guānshàng,"to close (a door), to turn off (light, electrical equipment etc)"
贵,gùi,"expensive, noble, precious, (honorific) your"
国,guó,"country, nation, state, national, CL:個|个[ge4]"
国家,guójiā,"country, nation, state, CL:個|个[ge4]"
国外,guówài,"abroad, external (affairs), overseas, foreign"
过,guò,(experienced action marker)
还 adverb,hái,"still, yet"
还是,huánshì,"or, still, nevertheless, had better"
还有,huányǒu,"furthermore, in addition, still, also"
孩子,háizǐ,child
汉语,hànyǔ,"Chinese language, CL:門|门[men2]"
汉字,hànzì,"Chinese character, CL:個|个[ge4], Japanese: kanji, Korean: hanja, Vietnamese: hán tự"
好,hǎo,"to be fond of, to have a tendency to, to be prone to"
好吃,hǎochī,"to be fond of eating, to be gluttonous"
好看,hǎokàn,"good-looking, nice-looking, good (of a movie, book, TV show etc), embarrassed, humiliated"
好听,hǎotīng,pleasant to hear
好玩儿,hǎowánér,"interesting, delightful, amusing"
号,hào,"ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people"
喝,hē,to shout loudly
和,hé,"old variant of 和[he2], harmonious"
很,hěn,"(adverb of degree), quite, very, awfully"
后,hòu,"back, behind, rear, afterwards, after, later"
后边,hòubiān,"back, rear, behind"
后天,hòutiān,"the day after tomorrow, post-natal, acquired (not innate), a posteriori"
花,huā,"variant of 花[hua1], flower, blossom, also pr. [wei3]"
话,huà,old variant of 話|话[hua4]
坏,huài,"bad, spoiled, broken, to break down, (suffix) to the utmost"
还 verb,huán,"to pay back, to return"
回,húi,variant of 迴|回[hui2]
回答,húidá,"to reply, to answer, the answer, CL:個|个[ge4]"
回到,húidào,to return to
回家,húijiā,to return home
回来,húilái,"to return, to come back"
回去,húiqù,"to return, to go back"
会,hùi,"to balance an account, accountancy, accounting"
火车,huǒchē,"train, CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]"
机场,jīcháng,"airport, airfield, CL:家[jia1],處|处[chu4]"
机票,jīpiào,"air ticket, passenger ticket, CL:張|张[zhang1]"
鸡蛋,jīdàn,"(chicken) egg, hen's egg, CL:個|个[ge4],打[da2]"
几,jī,"how much, how many, several, a few"
记,jì,"to record, to note, to memorize, to remember, mark, sign, classifier for blows, kicks, shots"
记得,jìdé,to remember
记住,jìzhù,"to remember, to bear in mind, to learn by heart"
家,jiā,"home, family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, CL:個|个[ge4]"
家里,jiālǐ,home
家人,jiārén,"household, (one's) family"
间,jiān,"gap, to separate, to thin out (seedlings), to sow discontent"
见,jiàn,"to appear, also written 現|现[xian4]"
见面,jiànmiàn,"to meet, to see each other, CL:次[ci4]"
教,jiào,"religion, teaching, to make, to cause, to tell"
叫,jiào,variant of 叫[jiao4]
教学楼,jiàoxuélóu,"teaching block, school building"
姐姐,jiějiě,"older sister, CL:個|个[ge4]"
介绍,jièshào,"to introduce (sb to sb), to give a presentation, to present (sb for a job etc), introduction"
今年,jīnnián,this year
今天,jīntiān,"today, at the present, now"
进,jìn,"to go forward, to advance, to go in, to enter, to put in, to submit, to take in, to admit, (math.) base of a number system, classifier for sections in a building or residential compound"
进来,jìnlái,to come in
进去,jìnqù,to go in
九,jǐu,"nine, 9"
就,jìu,"at once, right away, only, just (emphasis), as early as, already, as soon as, then, in that case, as many as, even if, to approach, to move towards, to undertake, to engage in, to suffer, subjected to, to accomplish, to take advantage of, to go with (of foods), with regard to, concerning"
觉得,juédé,"to think, to feel"
开,kāi,"to open, to start, to turn on, to boil, to write out (a prescription, check, invoice etc), to operate (a vehicle), carat (gold), abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2], abbr. for 開本|开本[kai1 ben3], book format"
开车,kāichē,to drive a car
开会,kāihùi,"to hold a meeting, to attend a meeting"
开玩笑,kāiwánxiào,"to play a joke, to make fun of, to joke"
看,kàn,"to see, to look at, to read, to watch, to visit, to call on, to consider, to regard as, to look after, to treat (an illness), to depend on, to feel (that), (after verb) to give it a try, Watch out! (for a danger)"
看病,kànbìng,"to visit a doctor, to see a patient"
看到,kàndào,to see
看见,kànjiàn,"to see, to catch sight of"
考,kǎo,"to check, to verify, to test, to examine, to take an exam, to take an entrance exam for, deceased father"
考试,kǎoshì,"to take an exam, exam, CL:次[ci4]"
渴,kě,thirsty
课,kè,"subject, course, CL:門|门[men2], class, lesson, CL:堂[tang2],節|节[jie2], to levy, tax, form of divination"
课本,kèběn,"textbook, CL:本[ben3]"
课文,kèwén,"text, CL:篇[pian1]"
口,kǒu,"mouth, classifier for things with mouths (people, domestic animals, cannons, wells etc), classifier for bites or mouthfuls"
块,kuài,"lump (of earth), chunk, piece, classifier for pieces of cloth, cake, soap etc, (coll.) classifier for money and currency units"
快,kuài,"rapid, quick, speed, rate, soon, almost, to make haste, clever, sharp (of knives or wits), forthright, plainspoken, gratified, pleased, pleasant"
来,lái,"to come, to arrive, to come round, ever since, next"
来到,láidào,"to come, to arrive"
老,lǎo,"prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity, old (of people), venerable (person), experienced, of long standing, always, all the time, of the past, very, outdated, (of meat etc) tough"
老人,lǎorén,"old man or woman, the elderly, one's aged parents or grandparents"
老师,lǎoshī,"teacher, CL:個|个[ge4],位[wei4]"
了,le,unofficial variant of 瞭[liao4]
累,lèi,"rope, to bind together, to twist around"
冷,lěng,cold
里,lǐ,"li, ancient measure of length, approx. 500 m, neighborhood, ancient administrative unit of 25 families, (Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels"
里边,lǐbiān,inside
两,liǎng,"two, both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)"
零,líng,"zero, nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither"
六,lìu,"six, 6"
楼,lóu,"house with more than 1 story, storied building, floor, CL:層|层[ceng2],座[zuo4],棟|栋[dong4]"
楼上,lóushàng,upstairs
楼下,lóuxià,downstairs
路,lù,"road, CL:條|条[tiao2], journey, route, line (bus etc), sort, kind"
路口,lùkǒu,"crossing, intersection (of roads)"
路上,lùshàng,"on the road, on a journey, road surface"
妈妈,māmā,"mama, mommy, mother, CL:個|个[ge4],位[wei4]"
马路,mǎlù,"street, road, CL:條|条[tiao2]"
马上,mǎshàng,"at once, right away, immediately, on horseback (i.e. by military force)"
吗,ma,"(question particle for ""yes-no"" questions)"
买,mǎi,"to buy, to purchase"
慢,màn,slow
忙,máng,"busy, hurriedly, to hurry, to rush"
毛,máo,"hair, feather, down, wool, mildew, mold, coarse or semifinished, young, raw, careless, unthinking, nervous, scared, (of currency) to devalue or depreciate, classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])"
没,méi,"drowned, to end, to die, to inundate"
没关系,méiguānxì,it doesn't matter
没什么,méishíyāo,"nothing, it doesn't matter, it's nothing, never mind"
没事儿,méishìér,"to have spare time, free from work, it's not important, it's nothing, never mind"
没有,méiyǒu,"haven't, hasn't, doesn't exist, to not have, to not be"
妹妹,mèimèi,"younger sister, young woman, CL:個|个[ge4]"
门,mén,"gate, door, CL:扇[shan4], gateway, doorway, CL:個|个[ge4], opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology, (suffix) -gate (i.e. scandal; derived from Watergate)"
门口,ménkǒu,"doorway, gate, CL:個|个[ge4]"
门票,ménpiào,"ticket (for theater, cinema etc)"
们,men,"plural marker for pronouns, and nouns referring to individuals"
米饭,mǐfàn,(cooked) rice
面包,miànbāo,"bread, CL:片[pian4],袋[dai4],塊|块[kuai4]"
面条儿,miàntiáoér,erhua variant of 麵條|面条[mian4 tiao2]
名字,míngzì,"name (of a person or thing), CL:個|个[ge4]"
明白,míngbái,"clear, obvious, unequivocal, to understand, to realize"
明年,míngnián,next year
明天,míngtiān,tomorrow
拿,ná,"to hold, to seize, to catch, to apprehend, to take, (used in the same way as 把[ba3]: to mark the following noun as a direct object)"
哪,nǎ,"which? (interrogative, followed by classifier or numeral-classifier)"
哪里,nǎlǐ,"where?, somewhere, anywhere, wherever, nowhere (negative answer to question), humble expression denying compliment"
哪儿,nǎér,"where?, wherever, anywhere"
哪些,nǎxiē,"which ones?, who?, what?"
那,nà,that
那边,nàbiān,"over there, yonder"
那里,nàlǐ,"there, that place"
那儿,nàér,there
那些,nàxiē,those
奶,nǎi,"mother, variant of 奶[nai3]"
奶奶,nǎinǎi,"(informal) grandma (paternal grandmother), (respectful) mistress of the house, CL:位[wei4], (coll.) boobies, breasts"
男,nán,"male, Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], CL:個|个[ge4]"
男孩儿,nánháiér,erhua variant of 男孩[nan2 hai2]
男朋友,nánpéngyǒu,boyfriend
男人,nánrén,"a man, a male, men, CL:個|个[ge4]"
男生,nánshēng,"schoolboy, male student, boy, guy (young adult male)"
南,nán,south
南边,nánbiān,"south, south side, southern part, to the south of"
难,nán,"disaster, distress, to scold"
呢,ní,woolen material
能,néng,"can, to be able to, might possibly, ability, (physics) energy"
你,nǐ,"you (informal, as opposed to courteous 您[nin2])"
你们,nǐmen,you (plural)
年,nián,year
您,nín,"you (courteous, as opposed to informal 你[ni3])"
牛奶,níunǎi,"cow's milk, CL:瓶[ping2],杯[bei1]"
女,nv̌,female
女儿,nv̌ér,daughter
女孩儿,nv̌háiér,erhua variant of 女孩[nu:3 hai2]
女朋友,nv̌péngyǒu,girlfriend
女人,nv̌rén,wife
女生,nv̌shēng,"schoolgirl, female student, girl"
旁边,pángbiān,"lateral, side, to the side, beside"
跑,pǎo,"to run, to run away, to escape, to run around (on errands etc), (of a gas or liquid) to leak or evaporate, (verb complement) away, off"
朋友,péngyǒu,"friend, CL:個|个[ge4],位[wei4]"
票,piào,"ticket, ballot, banknote, CL:張|张[zhang1], person held for ransom, amateur performance of Chinese opera, classifier for groups, batches, business transactions"
七,qī,"seven, 7"
起,qǐ,"to rise, to raise, to get up, to set out, to start, to appear, to launch, to initiate (action), to draft, to establish, to get (from a depot or counter), verb suffix, to start, starting from (a time, place, price etc), classifier for occurrences or unpredictable events: case, instance, classifier for groups: batch, group"
起床,qǐchuáng,"to get out of bed, to get up"
起来,qǐlái,"(after a verb) indicating the beginning and continuation of an action or a state, indicating an upward movement (e.g. after 站[zhan4]), bringing things together (e.g. after 收拾[shou1 shi5]), (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment, also pr. [qi3 lai5]"
汽车,qìchē,"car, automobile, bus, CL:輛|辆[liang4]"
前,qián,"front, forward, ahead, first, top (followed by a number), future, ago, before, BC (e.g. 前293年), former, formerly"
前边,qiánbiān,"front, the front side, in front of"
前天,qiántiān,the day before yesterday
钱,qián,"coin, money, CL:筆|笔[bi3], unit of weight, one tenth of a tael 兩|两[liang3]"
钱包,qiánbāo,"purse, wallet"
请,qǐng,"to ask, to invite, please (do sth), to treat (to a meal etc), to request"
请假,qǐngjiǎ,to request leave of absence
请进,qǐngjìn,"""please come in"""
请问,qǐngwèn,"Excuse me, may I ask...?"
请坐,qǐngzuò,"please, sit down"
球,qíu,"ball, sphere, globe, CL:個|个[ge4], ball game, match, CL:場|场[chang3]"
去,qù,"to go, to go to (a place), (of a time etc) last, just passed, to send, to remove, to get rid of, to reduce, to be apart from in space or time, to die (euphemism), to play (a part), (when used either before or after a verb) to go in order to do sth, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation)"
去年,qùnián,last year
热,rè,"to warm up, to heat up, hot (of weather), heat, fervent"
人,rén,"man, person, people, CL:個|个[ge4],位[wei4]"
认识,rènshì,"to know, to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition"
认真,rènzhēn,"conscientious, earnest, serious, to take seriously, to take to heart"
日,rì,"sun, day, date, day of the month"
日期,rìqī,"date, CL:個|个[ge4]"
肉,ròu,"meat, flesh, pulp (of a fruit), (coll.) (of a fruit) squashy, (of a person) flabby, irresolute"
三,sān,"three, 3"
山,shān,"mountain, hill, anything that resembles a mountain, CL:座[zuo4], bundled straw in which silkworms spin cocoons, gable"
商场,shāngcháng,"shopping mall, shopping center, department store, emporium, CL:家[jia1], the business world"
商店,shāngdiàn,"store, shop, CL:家[jia1],個|个[ge4]"
上,shàng,"on top, upon, above, upper, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university)"
上班,shàngbān,"to go to work, to be on duty, to start work, to go to the office"
上边,shàngbiān,"the top, above, overhead, upwards, the top margin, above-mentioned, those higher up"
上车,shàngchē,"to get on or into (a bus, train, car etc)"
上次,shàngcì,last time
上课,shàngkè,"to go to class, to attend class, to go to teach a class"
上网,shàngwǎng,"to go online, to connect to the Internet, (of a document etc) to be uploaded to the Internet, (tennis, volleyball etc) to move in close to the net"
上午,shàngwǔ,"morning, CL:個|个[ge4]"
上学,shàngxué,"to go to school, to attend school"
少,shǎo,young
谁,shúi,"who, also pr. [shui2]"
身上,shēnshàng,"on the body, at hand, among"
身体,shēntǐ,"the body, one's health, CL:具[ju4],個|个[ge4], in person"
什么,shíyāo,"what?, who?, something, anything"
生病,shēngbìng,to fall ill
生气,shēngqì,"to get angry, to take offense, angry, vitality, liveliness"
生日,shēngrì,"birthday, CL:個|个[ge4]"
十,shí,"ten, 10"
时候,shíhòu,"time, length of time, moment, period"
时间,shíjiān,"time, period, CL:段[duan4]"
事,shì,"matter, thing, item, work, affair, CL:件[jian4],樁|桩[zhuang1],回[hui2]"
试,shì,"to test, to try, experiment, examination, test"
是,shì,"variant of 是[shi4], (used in given names)"
是不是,shìbùshì,"is or isn't, yes or no, whether or not"
手,shǒu,"hand, (formal) to hold, person engaged in certain types of work, person skilled in certain types of work, personal(ly), convenient, classifier for skill, CL:雙|双[shuang1],隻|只[zhi1]"
手机,shǒujī,"cell phone, mobile phone, CL:部[bu4],支[zhi1]"
书,shū,"book, letter, document, CL:本[ben3],冊|册[ce4],部[bu4], to write"
书包,shūbāo,"schoolbag, satchel, CL:個|个[ge4],隻|只[zhi1]"
书店,shūdiàn,"bookstore, CL:家[jia1]"
树,shù,"tree, CL:棵[ke1], to cultivate, to set up"
水,shǔi,"water, river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes"
水果,shǔiguǒ,"fruit, CL:個|个[ge4]"
睡,shùi,"to sleep, to lie down"
睡觉,shùijué,"to go to bed, to sleep"
说,shuō,"to speak, to say, to explain, to scold, to tell off, a theory (usually in compounds such as 日心说 heliocentric theory)"
说话,shuōhuà,"to speak, to say, to talk, to gossip, to tell stories, talk, word"
四,sì,"four, 4"
送,sòng,"to deliver, to carry, to give (as a present), to present (with), to see off, to send"
岁,sùi,"classifier for years (of age), year, year (of crop harvests)"
他,tā,"he or him, (used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another"
他们,tāmen,they
她,tā,she
她们,tāmen,"they, them (for females)"
太,tài,"highest, greatest, too (much), very, extremely"
天,tiān,"day, sky, heaven"
天气,tiānqì,weather
听,tīng,"(literary pronunciation, still advocated in Taiwan) to rule, to sentence, to allow"
听到,tīngdào,to hear
听见,tīngjiàn,to hear
听写,tīngxiě,"dictate, dictation, CL:次[ci4]"
同学,tóngxué,"to study at the same school, fellow student, classmate, CL:位[wei4],個|个[ge4]"
图书馆,túshūguǎn,"library, CL:家[jia1],個|个[ge4]"
外,wài,"outside, in addition, foreign, external"
外边,wàibiān,"outside, outer surface, abroad, place other than one's home"
外国,wàiguó,"foreign (country), CL:個|个[ge4]"
外语,wàiyǔ,"foreign language, CL:門|门[men2]"
玩儿,wánér,"to play, to have fun, to hang out"
晚,wǎn,"evening, night, late"
晚饭,wǎnfàn,"evening meal, dinner, supper, CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]"
晚上,wǎnshàng,"evening, night, CL:個|个[ge4], in the evening"
网上,wǎngshàng,online
网友,wǎngyǒu,"online friend, Internet user"
忘,wàng,"to forget, to overlook, to neglect"
忘记,wàngjì,to forget
问,wèn,to ask
我,wǒ,"I, me, my"
我们,wǒmen,"we, us, ourselves, our"
五,wǔ,"five, 5"
