,form,form_count,lemma
291,latarnia,1,
292,kultury,1,kultura
293,co,6,co
294,miarę,1,
295,zajmowała,1,
296,nasza,1,nasz
297,o,9,o
298,wiejskiego,1,
299,drżały,1,
300,oczywiście,1,oczywiście
301,idei,1,
302,szklistość,1,
303,gra,1,gra
304,twarz,1,twarz
305,ciało,1,ciało
306,błąd,1,błąd
307,jej,3,ona
308,wszystkich,1,wszyscy
309,spełniają,1,
310,czekamy,1,czekać
311,szyi,1,szyja
312,skrzydła,1,
313,przymus,1,
314,życia,1,
315,przez,2,przez
316,srebra,1,
317,należało,1,należeć
318,powieściowy,1,
319,decydującą,1,
320,uklękła,1,
321,strach,1,strach
322,dziewczynę,1,dziewczyna
323,z,16,z
324,twórczości,1,
325,ukończy,1,
326,długim,1,długi
327,wibracji,1,
328,paźniewskiego,2,
329,kryterium,1,
330,kresom,1,
331,dwa,1,
332,zbiegł,1,
333,liceum,1,liceum
334,pamięci,1,
335,sprawy,2,sprawa
336,ręką,1,ręka
337,sabina,1,
338,syta,1,
339,dotąd,2,
340,niel,1,
341,eyes,1,
342,głębsza,1,
343,niszczyć,1,
344,wszedł,1,wejść
345,mieszkania,1,
346,wymową,1,
347,plamie,1,
348,spoczywać,1,
349,krótkich,2,krótki
350,jaką,3,jaki
351,chwilą,1,chwila
352,truchtem,1,
353,tych,1,to
354,stała,1,
355,jak,7,
356,przynależności,1,
357,aparatu,1,aparat
358,słoniowym,1,
359,spośród,1,
360,te,1,to
361,płomień,1,
362,rumieńce,1,
363,własną,1,własny
364,pojawiły,1,pojawić
365,głębokiego,1,głęboki
366,wiedzy,1,wiedza
367,jaki,1,jaki
368,być,1,być
369,harmonię,1,
370,trwała,1,trwać
371,dziewczynki,1,
372,ofiarował,1,
373,tortami,1,
374,kremami,1,
375,wesoła,1,wesoły
376,wydawała,1,wydawać
377,tylko,2,tylko
378,tak,1,tak
379,społeczny,1,
380,masz,1,masz
381,daleka,1,daleki
382,oczekiwania,1,
383,prawie,1,prawo
384,obciągnęła,1,
385,nich,1,oni
386,wraz,1,
387,wnukach,1,
388,oschły,1,
389,rosły,1,rosnąć
390,zdejmowano,1,
391,godzinę,2,godzina
392,styl,1,styl
393,cisza,2,cisza
394,znalazł,1,znaleźć
395,swej,1,
396,błogiej,1,
397,wielkości,1,
398,kolejno,1,
399,wełny,1,
400,refleks,1,
401,wzrokiem,1,
402,przekręcił,1,
403,propozycji,1,
404,krytycznej,1,
405,książkach,1,książka
406,najwyższą,1,
407,świerki,1,
408,myśli,1,myśleć
409,sprawa,1,sprawa
410,ewa,1,
411,ten,3,
412,bokiem,1,
413,nieubłagany,1,
414,czyniła,1,
415,jest,10,być
416,babim,1,
417,bohatera,1,
418,piętak,1,
419,czarnoksięska,1,
420,w,31,w
421,strzeliste,1,
422,kapitał,1,
423,funkcjonuje,1,
424,mar,1,
425,bezruchu,1,bezruch
426,wywołanym,1,
427,psychologiczną,1,
428,milczała,1,
429,żeby,1,żeby
430,musical,1,
431,zasobów,1,
432,smyczek,1,
433,fundują,1,
434,sandauera,1,
435,łzy,2,
436,rumieńcami,1,
437,gości,1,gość
438,veline,1,
439,zamknął,1,zamknąć
440,osobistej,1,
441,bądska,1,
442,niemodnym,1,
443,empirowego,1,
444,ulicą,1,
445,ciskała,1,
446,ciągu,1,
447,gdzie,2,
448,współczesnych,1,współczesny
449,żegnano,1,
450,jakich,1,jaki
451,upudrowała,1,
452,wreszcie,2,wreszcie
453,szły,1,iść
454,fakt,1,fakt
455,wtajemniczenia,1,
456,dziewczynie,1,dziewczyna
457,źrenice,1,
458,ósmej,1,
459,następnych,1,następny
460,pochłaniała,1,
461,ptasiego,1,
462,alejami,1,
463,dlatego,1,
464,u,1,u
465,paźniewski,1,
466,jesienią,1,jesień
467,nacisnął,1,
468,pobliżu,1,
469,pamiętam,1,pamiętać
470,występowała,1,
471,i,27,i
472,ziemi,1,ziemia
473,marta,6,
474,córkę,1,córka
475,plama,1,
476,wydał,1,wydać
477,szła,1,iść
478,fluidy,1,
479,klamkę,1,
480,sprawdzić,1,
481,podstawą,1,
482,lakier,1,
483,warkoczem,1,
484,przeplatane,1,
485,chodziło,1,chodzić
486,bohaterem,1,
487,odegra,1,
488,matką,1,
489,później,1,
490,talar,1,
491,wolna,1,wolny
492,ma,2,
493,umęczoną,1,
494,domykał,1,
495,czasu,1,
496,lubiła,1,lubić
497,do,14,do
498,miejsce,1,miejsce
499,schedę,1,
500,zięciowskim,1,
501,założenia,1,
502,prestiżowych,1,
503,pamiętała,1,pamiętać
504,szersza,1,
505,razem,1,raz
506,ojciec,1,
507,tamże,1,
508,raz,1,raz
509,turkotały,1,
510,melodie,1,melodia
511,improwizacje,1,improwizacja
512,jeszcze,1,jeszcze
513,naszej,1,nasz
514,słuchawkę,1,
515,niezmiernym,1,
516,stolika,1,
517,rozszerzały,1,
518,powściągnąć,1,
519,razy,1,raz
520,schodach,1,
521,wspaniała,1,wspaniały
522,ramionami,1,ramię
523,martę,1,
524,prawda,1,
525,nuty,1,
526,witkacego,1,
527,moment,1,moment
528,kacapską,1,
529,portrecik,1,
530,nietutejszy,1,
531,instrumenty,1,instrument
532,fundament,1,
533,kiedy,2,
534,czy,4,czy
535,uśmiechnęła,1,uśmiechnąć
536,opasała,1,
537,już,3,już
538,chłopskiej,1,
539,zaakompaniować,1,
540,nad,1,nad
541,głowę,1,głowa
542,po,7,po
543,systemów,1,system
544,religijnych,1,
545,gamy,1,
546,gdy,1,gdy
547,sztywnej,1,
548,urzekający,1,
549,siebie,2,się
550,losie,1,
551,twórczością,1,
